layer,detector,family,family_class,m,arl,gamma,gamma_se,route_b_gamma,route_b_se,correspondence_verdict,mean_window_at_zero,origin_is_fixed_point,expected_short_correction,fixed_denominator_gain,gaussian_form_gain,stability_status,critical_rho
reduced,sr@20,laplace,THEOREM-SUPPORTED,1,19.296298500000002,6.096764142999871,0.005446391082164362,6.1244908269246086,0.016302426707038693,PASS,0.0003372378759220575,True,0.0,6.096764142999871,8.934323753172356,CLASSIFIED,0.19620291854655386
reduced,sr@20,laplace,THEOREM-SUPPORTED,2,19.296298500000002,4.160225527406735,0.0033521008387717025,4.179794676810815,0.01137833451610417,PASS,0.0002078829595929517,True,0.021039737429151686,4.139185789977584,5.666448265545269,CLASSIFIED,0.3164331125508612
reduced,sr@20,laplace,THEOREM-SUPPORTED,3,19.296298500000002,3.3143053310006856,0.002498327721518943,3.3286003670325353,0.00887684124414057,PASS,8.73601686444939e-05,True,0.058559780615346814,3.2557455503853383,4.318442542276709,CLASSIFIED,0.4320951028391784
reduced,sr@20,laplace,THEOREM-SUPPORTED,5,19.296298500000002,2.481853885216705,0.001584467003635884,2.491878536002986,0.006080811836277943,PASS,0.00010625380308459816,True,0.15963523394711657,2.3222186512695884,3.1016816304562163,CLASSIFIED,0.6748303661894175
reduced,sr@20,logistic,THEOREM-SUPPORTED,1,18.824034833333332,6.269228156610336,0.002004788807496461,6.261179800910293,0.015874590261012955,PASS,-0.00129593634809019,True,0.0,6.269228156610336,7.52572443590569,CLASSIFIED,0.18978111599617925
reduced,sr@20,logistic,THEOREM-SUPPORTED,2,18.824034833333332,4.52100991183685,0.0013443574344662837,4.520779812087749,0.01251364894094807,PASS,-0.0005862079768405644,True,0.012758398801526677,4.508251513035323,5.169787498594453,CLASSIFIED,0.2840094248636515
reduced,sr@20,logistic,THEOREM-SUPPORTED,3,18.824034833333332,3.6221975036892586,0.0010597242676493564,3.6244811374201036,0.009197406078307001,PASS,-0.00044340612148990893,True,0.04534199319397253,3.5768555104952866,4.038479052632127,CLASSIFIED,0.3813595271115414
reduced,sr@20,logistic,THEOREM-SUPPORTED,5,18.824034833333332,2.667965127580137,0.0007586714325156206,2.6693777841472692,0.00616947680363857,PASS,-0.00033467052060003446,True,0.15147719186955064,2.5164879357105865,2.917740067906473,CLASSIFIED,0.5995329179638111
reduced,sr@20,t3,THEOREM-SUPPORTED,1,27.07979983333333,6.261424352261263,0.009631167184578316,6.255914853393498,0.02206084941217649,PASS,0.0030073709238312997,True,0.0,6.261424352261263,14.967063571523672,CLASSIFIED,0.19006260150261756
reduced,sr@20,t3,THEOREM-SUPPORTED,2,27.07979983333333,4.3435475986397165,0.005186847517709444,4.341449428144264,0.012346327729413908,PASS,0.0014457499792116862,True,0.017278748185711183,4.326268850454006,8.594714514697488,CLASSIFIED,0.2990835244597201
reduced,sr@20,t3,THEOREM-SUPPORTED,3,27.07979983333333,3.5035057433471315,0.0032742795441323093,3.506325302690456,0.008605516428030542,PASS,0.0010881512817390866,True,0.0419462475730673,3.4615594957740647,6.314901987563371,CLASSIFIED,0.39943986653812197
reduced,sr@20,t3,THEOREM-SUPPORTED,5,27.07979983333333,2.65083712959491,0.0021116464937841707,2.653158332945067,0.005680861549128425,PASS,0.00030976464111315825,True,0.10671839301172122,2.5441187365831888,4.406038934409217,CLASSIFIED,0.6057532763667514
reduced,sr@20,t1p5,THEOREM-SUPPORTED,1,5.494438,2.681777254342458,0.04745672015229788,2.831138435184505,0.10528739236482285,FAIL,0.05763645596606698,True,0.0,2.681777254342458,18478.035669981404,CLASSIFIED,0.5946090645583029
reduced,sr@20,t1p5,THEOREM-SUPPORTED,2,5.494438,1.9488360142898065,0.023831338671186218,2.027372610496286,0.053272643601072985,FAIL,0.02521859917380262,True,0.1291212043743091,1.8197148099154974,10331.91667085221,CLASSIFIED,1.0539228959900824
reduced,sr@20,t1p5,THEOREM-SUPPORTED,3,5.494438,1.6531457231595177,0.022910959699689933,1.7156835101695698,0.03579687295382499,FAIL,0.023350067316820402,True,0.2559981226372494,1.3971476005222685,9865.949557591708,CLASSIFIED,1.53105189935657
reduced,sr@20,t1p5,THEOREM-SUPPORTED,5,5.494438,1.4343577992223195,0.02299709103501812,1.4807339918105047,0.022598787027160193,FAIL,0.02390237605819927,True,0.48509089825986607,0.9492669009624536,9663.062436715034,CLASSIFIED,2.3022494399557565
reduced,sr@20,skewnormal4,THEOREM-SUPPORTED,1,18.903773333333334,6.758172223393718,0.0034666691579201742,6.75891406334971,0.01611761195752972,PASS,0.93065246474226,False,0.0,6.758172223393718,6.175792697712154,FIXED-POINT-NOT-AT-ORIGIN,
reduced,sr@20,skewnormal4,THEOREM-SUPPORTED,2,18.903773333333334,5.024672057809192,0.0022604805854164146,5.016783735056929,0.010686604430607979,PASS,0.5323419123793537,False,0.011636478234949968,5.013035579574242,4.563764191579948,FIXED-POINT-NOT-AT-ORIGIN,
reduced,sr@20,skewnormal4,THEOREM-SUPPORTED,3,18.903773333333334,4.06826673794231,0.0016836599266628713,4.06443641298336,0.00852115726484011,PASS,0.33951877961781207,False,0.038854613158696025,4.029412124783614,3.7015358752058725,FIXED-POINT-NOT-AT-ORIGIN,
reduced,sr@20,skewnormal4,THEOREM-SUPPORTED,5,18.903773333333334,2.9475222614450085,0.0012461571901014913,2.943373262199787,0.006519007700635971,PASS,0.1916805245008515,False,0.13477493523545256,2.8127473262095557,2.7513802016965605,FIXED-POINT-NOT-AT-ORIGIN,
reduced,sr@20,uniform,OUTSIDE-ASSUMPTIONS,1,18.175695,0.0,0.0,6.289880655824572,0.009665991770601255,COUNTEREXAMPLE-CONFIRMED,-0.0013464173187778426,True,0.0,0.0,4.970046485710699,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
reduced,sr@20,uniform,OUTSIDE-ASSUMPTIONS,2,18.175695,0.0,0.0,5.4369361967685474,0.007666072873441345,COUNTEREXAMPLE-CONFIRMED,-0.0010165955837728058,True,0.0,0.0,4.375237050804619,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
reduced,sr@20,uniform,OUTSIDE-ASSUMPTIONS,3,18.175695,0.0,0.0,4.410177342836757,0.006179418433563257,COUNTEREXAMPLE-CONFIRMED,-0.0008243103663986966,True,0.0,0.0,3.7617029530056456,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
reduced,sr@20,uniform,OUTSIDE-ASSUMPTIONS,5,18.175695,0.0,0.0,3.0365822045574538,0.004730299575731516,COUNTEREXAMPLE-CONFIRMED,-0.0005602494797197474,True,0.0,0.0,2.7181548185009277,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
reduced,sr@20,cauchy,OUTSIDE-ASSUMPTIONS,1,4.1362235,4.7713896646528795,3.085648658510219,4.874964785527331,2.262189179084561,COUNTEREXAMPLE-NOT-DEMONSTRATED,-30.621224051135638,True,0.0,4.7713896646528795,3877242855.355358,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
reduced,sr@20,cauchy,OUTSIDE-ASSUMPTIONS,2,4.1362235,2.932865281604039,1.5428629144415682,2.98355752702319,1.1310919879651513,COUNTEREXAMPLE-NOT-DEMONSTRATED,-28.124173228230358,True,0.17296059207520997,2.759904689528829,3619197704.42011,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
reduced,sr@20,cauchy,OUTSIDE-ASSUMPTIONS,3,4.1362235,2.251542709726398,1.08366576377142,2.344361907010686,0.7546744323070361,COUNTEREXAMPLE-NOT-DEMONSTRATED,-27.013121924495113,True,0.27219259421662395,1.9793501155097737,3533984296.198423,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
reduced,sr@20,cauchy,OUTSIDE-ASSUMPTIONS,5,4.1362235,1.7234624096876956,0.7553950988706181,1.8649978368188236,0.46860122478358684,COUNTEREXAMPLE-NOT-DEMONSTRATED,-26.248510524812104,True,0.45588214845443115,1.2675802612332643,3466183196.6063366,NOT-CLASSIFIED-OUTSIDE-ASSUMPTIONS,
frozen,cusum@5,gaussian,THEOREM-SUPPORTED,1,465.4507940625,15.877341607803746,0.016820858912165428,15.857200182274696,0.04659386702105194,PASS,-0.0015172896465448411,True,0.0,15.877341607803746,15.877341607803746,CLASSIFIED,0.06721630963124897
frozen,cusum@5,gaussian,THEOREM-SUPPORTED,2,465.4507940625,13.247492200009852,0.015086940786342914,13.23021468719478,0.03644333881403051,PASS,-0.0014124022822689115,True,0.0,13.247492200009852,13.247492200009852,CLASSIFIED,0.08164936818650888
frozen,cusum@5,gaussian,THEOREM-SUPPORTED,3,465.4507940625,11.91473469343104,0.01373348633327897,11.910916176260612,0.031196600782122785,PASS,-0.0011391236058817175,True,0.00016851001415034238,11.91456618341689,11.91473469343104,CLASSIFIED,0.09161926772272745
